City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Ulladulla,AU,-35.35,150.4667,52.7,71,5,3.87,clear sky
326,Geraldton,AU,-28.7667,114.6,52.21,82,0,9.22,clear sky
327,Yaan,NG,7.3833,8.5667,78.85,75,99,3.62,overcast clouds
328,Bonavista,CA,48.6499,-53.1147,46.11,69,1,4.76,clear sky
329,Marawi,PH,7.9986,124.2928,67.64,95,27,0.58,scattered clouds
330,Provideniya,RU,64.3833,-173.3,12.6,83,88,10.6,overcast clouds
331,Sitka,US,57.0531,-135.33,48.09,61,75,13.8,broken clouds
332,Ocos,GT,14.5094,-92.1933,85.91,75,100,4.81,overcast clouds
333,Chicama,PE,-7.8447,-79.1469,63.14,62,25,10.58,scattered clouds
334,Katiola,CI,8.1333,-5.1,77.63,83,100,3.51,light rain
335,Marsassoum,SN,12.8275,-15.9806,77.09,90,100,3.47,overcast clouds
336,Poretskoye,RU,55.1974,46.3291,46.44,94,100,9.26,overcast clouds
337,Sioux Lookout,CA,50.1001,-91.917,44.67,87,90,6.91,overcast clouds
338,Jamame,SO,0.0722,42.7506,77.29,86,15,8.9,few clouds
339,Mayo,US,38.8876,-76.5119,65.43,70,1,4.0,clear sky
340,Ahuimanu,US,21.4447,-157.8378,83.79,62,20,5.75,few clouds
341,Susangerd,IR,31.5608,48.1831,77.02,46,62,5.64,broken clouds
342,Altus,US,34.6381,-99.334,80.11,20,1,11.5,haze
343,Hammerfest,NO,70.6634,23.6821,34.25,93,20,5.75,few clouds
344,Mbour,SN,14.422,-16.9638,81.45,74,96,12.41,overcast clouds
345,Yakeshi,CN,49.2833,120.7333,23.83,48,0,3.58,clear sky
346,Tshane,BW,-24.0196,21.8684,73.17,18,0,11.18,clear sky
