City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Cueramaro,MX,77.54,scattered clouds,20.6167,-101.7167,Aguprieta sonora
649,Am Timan,TD,80.35,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
660,Belize,BZ,83.43,overcast clouds,17.25,-88.75,Villa San Juan
661,Ambulu,ID,75.56,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
662,Bahia Honda,CU,80.37,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
667,Bandarbeyla,SO,78.42,light rain,9.4942,50.8122,JABIR HOTEL
668,Sao Caetano De Odivelas,BR,78.8,few clouds,-0.75,-48.02,Hotel do Luttis
669,Satipo,PE,83.17,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
672,Narasannapeta,IN,75.79,few clouds,18.4167,84.05,G.lingaraju home
679,Bontang,ID,77.18,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
685,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
686,Funtua,NG,76.66,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
688,Mahibadhoo,MV,82.47,broken clouds,3.7833,72.9667,Omadhoo Inn
689,Meulaboh,ID,75.47,moderate rain,4.1363,96.1285,Kost Pria
691,Jardim,BR,76.5,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
694,Norsup,VU,81.54,clear sky,-16.0667,167.3833,Nabelchel Bungalows
699,Sinnamary,GF,80.73,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
700,Macaubas,BR,81.39,few clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
701,Kokopo,PG,79.93,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
703,Koumac,NC,75.54,few clouds,-20.5667,164.2833,Le Monitel
704,Isangel,VU,79.07,clear sky,-19.55,169.2667,Tanna Lodge
707,San Fernando,PH,78.96,few clouds,15.0286,120.6898,Maharlika Hostel
714,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
715,Turbat,PK,80.65,clear sky,26.0023,63.044,Mubashar Quarters
